post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Смаки,attribute_data:Смаки,attribute_default:Смаки
КАНЗАС,kanzas,,10544,"пшенична булочка, м'ясо свинини, салат,
огірок, соус канзас, соус спайс","&nbsp;
<div class=""ingradient"">пшенична булочка, м'ясо свинини, салат, огірок, соус канзас, соус спайс</div>",publish,,0,"2019-11-13 14:43:48",2,closed,,,,no,yes,,180,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/kanzas.jpg ! alt :  ! title : канзас ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/kanzas/,,,,,,,,,90,,,simple,,"REDINGTON > БУРГЕРИ|REDINGTON",,,,,
"ФІЛАДЕЛЬФІЯ З ЛОСОСЕМ",filadelfiya-z-kopchenym-lososem,,10546,"рис,норі, лосось, тофу, крем сир, огірок,","<br><div class=""ingradient"">рис, норі, лосось, тофу, крем сир, огірок, сир тофу</div>",publish,,0,"2019-11-13 14:45:15",2,closed,,,,no,yes,,200,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/FILA-LOSOS.jpg ! alt :  ! title : ФІЛА ЛОСОСЬ ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/filadelfiya-z-kopchenym-lososem/,,,,,,,,,60,,,simple,,"REDINGTON > РОЛИ|REDINGTON",,,,,
"Темпура Креветка",maki-z-lososem,,10550,,"&nbsp;
<div class=""ingradient"">норі, рис, лосось</div>",publish,,0,"2019-11-13 14:49:46",2,closed,,,,no,yes,,260,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/photo_2024-10-17_22-39-20.jpg ! alt :  ! title : photo_2024-10-17_22-39-20 ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/maki-z-lososem/,,,,,,,,0,60,,,simple,,"REDINGTON > РОЛИ|REDINGTON",,,,,
"СИРНИЙ РОЛ",syrnyj-rol,,10551,,"<br><div class=""ingradient"">рис, норі, крем сир, сир тофу, вершковий сир, білий та чорний кунжут</div>",publish,,0,"2019-11-13 14:50:37",2,closed,,,,no,yes,,160,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/ROL-SYRNYJ.jpg ! alt :  ! title : РОЛ СИРНИЙ ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/syrnyj-rol/,,,,,,,,0,60,,,simple,,"REDINGTON > РОЛИ|REDINGTON",,,,,
"Темпура Вугор",maki-z-krevetkoyu,,10553,,"&nbsp;
<div class=""ingradient"">норі, рис, креветка, крем сир</div>",publish,,0,"2019-11-13 14:52:02",2,closed,,,,no,yes,,260,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/photo_2024-10-21_23-05-14.jpg ! alt :  ! title : photo_2024-10-21_23-05-14 ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/maki-z-krevetkoyu/,,,,,,,,0,60,,,simple,,"REDINGTON > РОЛИ|REDINGTON",,,,,
"“Фокачча”(піца-хліб) | 210г",fokachcha-pitsa-hlib-210g,,10680,,"&nbsp;
<div class=""ingradient"">оливкова олія з часником та орегано</div>",publish,,0,"2019-11-15 08:56:15",2,closed,,,,no,yes,,45,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/fokachcha-pitsa-hlib-210g/,,,,,,,,,,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“4-сири” | 500г",4-syry-500g,,10682,,"&nbsp;
<div class=""ingradient"">соус сальса, сир Гауда Рікі, сир Едем, сир Дор Блю, сир Брі, орегано</div>",publish,,0,"2019-11-15 08:57:13",2,closed,,,,no,yes,,230,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/4-syry-500g/,,,,,,,,,,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“4-сезони” | 520г",4-sezony-520g,,10685,,"&nbsp;
<div class=""ingradient"">соус сальса, сир твердий, грибне асорті, мясне асорті, морепродукти, помідори, перець болгарський, орегано</div>",publish,,0,"2019-11-15 08:57:45",2,closed,,,,no,yes,,250,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/4-sezony-520g/,,,,,,,,,,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“Інферно” | 500г",inferno-500g,,10687,,"&nbsp;
<div class=""ingradient"">соус сальса, сир твердий, шинка копчена, печериці свіжі, ковбаса папероні, перець чілі, паприка гостра, орегано</div>",publish,,0,"2019-11-15 08:58:18",2,closed,,,,no,no,,230,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/INFERNO.jpg ! alt :  ! title : ІНФЕРНО ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/inferno-500g/,,,,,,,,,60,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“Паперанчіно” | 480г",paperanchino-480,,10688,,"&nbsp;
<div class=""ingradient"">соус сальса, сир твердий, ковбаса папероні,перець чілі, паприка гостра,орегано</div>",publish,,0,"2019-11-15 08:58:46",2,closed,,,,no,yes,,220,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/PAPERANCHINO-e1707224785131.jpg ! alt :  ! title : ПАПЕРАНЧІНО ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/paperanchino-480/,,,,,,,,,60,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“Кальцоне” | 540г",kaltsone-540g,,10689,,"&nbsp;
<div class=""ingradient"">соус сальса, сир твердий, печериці свіжі, грудинка копчена, шинка копчена, філе куряче, перець болгарський, кукурудза, орегано</div>",publish,,0,"2019-11-15 08:59:14",2,closed,,,,no,yes,,220,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/KALTSONE.jpg ! alt :  ! title : КАЛЬЦОНЕ ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/kaltsone-540g/,,,,,,,,,60,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“Капрічіоза” | 460г",kaprichoza-460g,,10690,,"&nbsp;
<div class=""ingradient"">соус сальса, сир твердий, шинка копчена, печериці свіжі, орегано</div>",publish,,0,"2019-11-15 08:59:38",2,closed,,,,no,yes,,190,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/kaprichoza-460g/,,,,,,,,,,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“Екстраваганца"" | 400г",ekstravaganzza-400g,,10691,,"&nbsp;
<div class=""ingradient"">соус сальса, вершки, сир твердий, сир моцарелла, сир пармезан, прошутто, персик консервований, цибуля ріпчаста, орегано</div>",private,,0,"2019-11-15 09:00:14",2,closed,,,,no,yes,,270,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/ekstravaganzza-400g/,,,,,,,,,,,,simple,exclude-from-catalog|exclude-from-search,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“Неаполітана” | 430г",neapolitana-430g,,10692,,"&nbsp;
<div class=""ingradient"">соус сальса, сир твердий, шинка копчена, помідори, орегано</div>",publish,,0,"2019-11-15 09:00:44",2,closed,,,,no,yes,,190,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/neapolitana-430g/,,,,,,,,,,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“Барбекю” | 510г",barbekyu-510g,,10693,,"&nbsp;
<div class=""ingradient"">соус сальса, сир твердий, філе куряче копчене, мисливські ковбаски, помідори свіжі, орегано</div>",publish,,0,"2019-11-15 09:01:23",2,closed,,,,no,yes,,195,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/barbekyu-pitsa.jpg ! alt :  ! title : барбекю піца ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/barbekyu-510g/,,,,,,,,,60,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“Салямі” | 460г",salyami-460g,,10694,,"&nbsp;
<div class=""ingradient"">соус сальса, сир твердий, ковбаса салямі, перець болгарський, орегано</div>",publish,,0,"2019-11-15 09:01:46",2,closed,,,,no,yes,,230,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/salyami-460g/,,,,,,,,,,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“Карбонара” | 480г",karbonara-480g,,10695,,"&nbsp;
<div class=""ingradient"">соус сальса, сир твердий, грудинка копчена, яйце куряче, часник, орегано</div>",publish,,0,"2019-11-15 09:02:03",2,closed,,,,no,yes,,190,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/karbonara-480g/,,,,,,,,,,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“Пріма” | 470г",prima-470g,,10696,,"&nbsp;
<div class=""ingradient"">соус сальса, сир твердий, шпинат, кріп, курка печена, базилік</div>",publish,,0,"2019-11-15 09:02:34",2,closed,,,,no,yes,,195,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/prima-470g/,,,,,,,,,,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“Кардинал” | 490г",kardynal-490g,,10697,,"&nbsp;
<div class=""ingradient"">соус сальса, сир твердий, філе куряче, кукурудза, орегано</div>",publish,,0,"2019-11-15 09:02:50",2,closed,,,,no,no,,190,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/kardynal-490g/,,,,,,,,,,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“Гаваї” | 500г",gavayi-500g,,10698,,"&nbsp;
<div class=""ingradient"">соус сальса, сир твердий, філе куряче, ананас консервований, орегано</div>",publish,,0,"2019-11-15 09:03:22",2,closed,,,,no,yes,,200,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/gavayi-500g/,,,,,,,,,,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“З Руколою” | 490г",kaltsone-bereta-480g,,10699,,"&nbsp;
<div class=""ingradient"">соус сальса, сир твердий, сир Моцарелла, шинка копчена, рукола, журавлина, маслини, орегано</div>",publish,,0,"2019-11-15 09:03:51",2,closed,,,,no,yes,,200,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/kaltsone-bereta-480g/,,,,,,,,,,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“Вентура» | 470г",ventura-470g,,10700,,"&nbsp;
<div class=""ingradient"">соус сальса, сир твердий, печериці свіжі, перець болгарський, помідори свіжі, маслини, орегано</div>",publish,,0,"2019-11-15 09:04:10",2,closed,,,,no,no,,185,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/ventura-470g/,,,,,,,,,,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“Грибна” | 480г",grybna-480g,,10701,,"&nbsp;
<div class=""ingradient"">соус сальса, сир твердий, печериці свіжі, орегано</div>",publish,,0,"2019-11-15 09:04:34",2,closed,,,,no,yes,,175,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/grybna-480g/,,,,,,,,,,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“Маргарита” | 430г",margaryta-430g,,10702,,"&nbsp;
<div class=""ingradient"">соус сальса, сир твердий, сир моцарелла, помідори, орегано</div>",publish,,0,"2019-11-15 09:04:48",2,closed,,,,no,yes,,180,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/margaryta-430g/,,,,,,,,,,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“Б’янко” | 490г",b-yanko-490g,,10703,,"&nbsp;
<div class=""ingradient"">вершки, сир твердий, креветки, оливки, орегано</div>",publish,,0,"2019-11-15 09:05:02",2,closed,,,,no,yes,,220,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/b-yanko-490g/,,,,,,,,,,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“Тонно” | 480г",tonno-480g,,10705,,"&nbsp;
<div class=""ingradient"">соус сальса, сир твердий, тунець в маслі, оливки, маслини, цибуля ріпчаста, орегано</div>",publish,,0,"2019-11-15 09:05:36",2,closed,,,,no,no,,235,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/tonno-480g/,,,,,,,,,,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"“Марінара” | 500г",marinara-500g,,10706,,"&nbsp;
<div class=""ingradient"">соус сальса, сир твердий, кальмари, крабові палички, креветки, мідії, часник, орегано</div>",publish,,0,"2019-11-15 09:06:02",2,closed,,,,no,yes,,250,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/MARINARA.jpg ! alt :  ! title : МАРІНАРА ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/marinara-500g/,,,,,,,,,60,,,simple,,"PRIMA PIZZA > ПІЦА|PRIMA PIZZA",,,,,
"Салат «Цезар» з куркою | 230г",salat-tsezar-z-kurkoyu-230g,,10707,,"&nbsp;
<div class=""ingradient"">філе куряче, листя салату, перепилині яйця, помідори черрі, пармезан, грінки, вершковий соус</div>",publish,,0,"2019-11-15 09:06:26",2,closed,,,,no,yes,,165,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/TSEZAR-KURKA.jpg ! alt :  ! title : ЦЕЗАР КУРКА ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/salat-tsezar-z-kurkoyu-230g/,,,,,,,,,60,,,simple,,"PRIMA PIZZA|PRIMA PIZZA > САЛАТИ",,,,,
"Салат «Цезар» з лососем | 230г",salat-tsezar-z-lososem-230g,,10708,,"&nbsp;
<div class=""ingradient"">філе лосося, листя салату, перепилині яйця, помідори черрі, пармезан, грінки, вершковий соус, зелень</div>",publish,,0,"2019-11-15 09:06:52",2,closed,,,,no,yes,,200,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/salat-tsezar-z-lososem-230g/,,,,,,,,,,,,simple,,"PRIMA PIZZA|PRIMA PIZZA > САЛАТИ",,,,,
"Салат з тунцем | 250г",salat-z-tuntsem-250g,,10709,,"&nbsp;
<div class=""ingradient"">тунець в маслі, листя салату, помідори, огірки, перець болгарський, яйце, оливкова олія, зелень</div>",publish,,0,"2019-11-15 09:07:08",2,closed,,,,no,yes,,130,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/photo_2023-03-23_18-38-31-e1679589579791.jpg ! alt :  ! title : photo_2023-03-23_18-38-31 ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/salat-z-tuntsem-250g/,,,,,,,,,60,,,simple,,"PRIMA PIZZA|PRIMA PIZZA > САЛАТИ",,,,,
"Салат з журавлиною і карамелізованою грушею | 230г",salat-z-krevetkamy-250g,,10711,,"&nbsp;
<div class=""ingradient"">журавлина, груша, мікс салатів, копчена шинка, горіх, сир Пармезан, соус на основі Aceto Balsamiko</div>",publish,,0,"2019-11-15 09:07:44",2,closed,,,,no,yes,,160,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/GRUSHA.jpg ! alt :  ! title : ГРУША ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/salat-z-krevetkamy-250g/,,,,,,,,,60,,,simple,,"PRIMA PIZZA|PRIMA PIZZA > САЛАТИ",,,,,
"Салат “Сомбреро” | 180г",salat-sombrero-180g,,10713,,"&nbsp;
<div class=""ingradient"">шинка копчена, перець болгарський, листя салату, кукурудза, зелена цибуля, зелень, олія, спеції</div>",publish,,0,"2019-11-15 09:08:17",2,closed,,,,no,yes,,100,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2019/11/SOMBRERO.jpg ! alt :  ! title : СОМБРЕРО ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/salat-sombrero-180g/,,,,,,,,,60,,,simple,,"PRIMA PIZZA|PRIMA PIZZA > САЛАТИ",,,,,
"Салат з курки і ананаса | 180г",salat-z-kurky-i-ananasa-180g,,10714,,"&nbsp;
<div class=""ingradient"">філе куряче, ананас консервований, сир твердий, гриби мариновані, майонез, помідори, зелень, спеції</div>",publish,,0,"2019-11-15 09:08:39",2,closed,,,,no,yes,,100,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/salat-z-kurky-i-ananasa-180g/,,,,,,,,,,,,simple,,"PRIMA PIZZA|PRIMA PIZZA > САЛАТИ",,,,,
"Салат Грецький | 180г",salat-gretskyj-180g,,10716,,"&nbsp;
<div class=""ingradient"">перець болгарський, помідори, огірки, маслини, фета, зелень,салат, оливкова олія</div>",publish,,0,"2019-11-15 09:09:19",2,closed,,,,no,yes,,110,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/salat-gretskyj-180g/,,,,,,,,,,,,simple,,"PRIMA PIZZA|PRIMA PIZZA > САЛАТИ",,,,,
"Салат з білокачанної капусти | 150г",salat-z-kapusty-150g,,10717,,"&nbsp;
<div class=""ingradient"">заправка на вибір: олія, майонез</div>",publish,,0,"2019-11-15 09:09:36",2,closed,,,,no,yes,,65,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/salat-z-kapusty-150g/,,,,,,,,,,,,simple,,"PRIMA PIZZA|PRIMA PIZZA > САЛАТИ",,,,,
"Салат з буряка | 180г",salat-buryachok-200g,,10719,,"&nbsp;
<div class=""ingradient"">буряк варений, рукола, сир фета, олія, спеції</div>",publish,,0,"2019-11-15 09:10:10",2,closed,,,,no,yes,,85,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/salat-buryachok-200g/,,,,,,,,,,,,simple,,"PRIMA PIZZA|PRIMA PIZZA > САЛАТИ",,,,,
"Запечені свинні ребра з кисло-солодким соусом | 100г",zapecheni-svynni-rebra-za-100g,,10723,,"<br><div class=""ingradient"">подається з кисло-солодким соусом та квашеними овочами</div>",publish,,0,"2019-11-15 09:11:36",2,closed,,,,no,yes,,105,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/zapecheni-svynni-rebra-za-100g/,,,,,,,,,,,,simple,,"PRIMA PIZZA|PRIMA PIZZA > ОСНОВНІ СТРАВИ",,,,,
